#{"t_start": 1750701228.3349602, "env_id": "None"}
r,l,t
-30.11783,300,1151.278832
-30.124052,300,1165.794739
-30.123814,300,1165.794892
-30.124863,300,1165.794913
-30.122768,300,1165.794924
-30.137625,300,1179.908439
-30.136078,300,1179.908571
-30.136742,300,1179.908612
-30.137707,300,1179.908631
-30.104412,300,1193.745704
-30.106117,300,1193.745793
-30.104057,300,1193.745826
-30.105518,300,1193.745836
-30.104662,300,1206.92916
-30.105484,300,1206.929251
-30.106525,300,1206.929267
-30.106113,300,1206.929277
-30.104422,300,1220.548607
-30.10607,300,1220.548681
-30.106411,300,1220.548696
-30.106104,300,1220.548706
-30.10542,300,1234.238553
-30.104088,300,1234.238672
-30.10746,300,1234.238691
-30.10686,300,1234.238706
-30.117168,300,1249.01609
-30.121298,300,1249.016174
-30.118414,300,1249.016191
-30.110838,300,1249.016201
-30.132936,300,1265.860812
-30.134624,300,1265.860949
-30.133512,300,1265.860967
-30.134228,300,1265.860979
-30.12347,300,1280.094669
-30.122555,300,1280.094785
-30.124744,300,1280.094802
-30.123219,300,1280.094815
-30.140032,300,1294.456262
-30.141655,300,1294.456362
-30.141624,300,1294.456377
-30.14158,300,1294.456404
-30.14101,300,1308.37487
-30.143225,300,1308.374955
-30.143822,300,1308.374987
-30.142227,300,1308.374997
-30.142742,300,1321.858982
-30.141205,300,1321.859068
-30.144497,300,1321.859082
-30.14341,300,1321.859091
-30.142189,300,1335.618888
-30.143234,300,1335.618984
-30.142897,300,1335.619016
-30.141016,300,1335.619038
-30.141136,300,1348.912684
-30.143532,300,1348.912795
-30.143555,300,1348.912813
-30.143068,300,1348.912823
-30.143972,300,1361.694559
-30.14516,300,1361.694667
-30.145363,300,1361.694686
-30.143135,300,1361.694697
-30.145666,300,1375.215051
-30.146164,300,1375.215147
-30.145561,300,1375.215163
-30.146599,300,1375.215172
-30.145136,300,1387.607449
-30.144894,300,1387.607522
-30.14507,300,1387.607536
-30.145432,300,1387.607545
-30.146088,300,1399.751816
-30.145615,300,1399.75192
-30.146729,300,1399.751936
-30.14634,300,1399.751946
-30.148397,300,1411.739698
-30.14876,300,1411.73979
-30.14795,300,1411.739805
-30.148935,300,1411.739813
-30.148252,300,1424.334878
-30.148762,300,1424.335132
-30.148474,300,1424.335159
-30.14866,300,1424.335169
-30.149294,300,1436.505199
-30.14862,300,1436.505298
-30.14952,300,1436.505313
-30.149603,300,1436.505323
-30.14959,300,1449.268824
-30.149708,300,1449.268917
-30.149681,300,1449.268932
-30.149122,300,1449.268942
-30.148178,300,1461.866951
-30.149326,300,1461.867067
-30.149939,300,1461.867084
-30.149826,300,1461.867094
-30.149342,300,1476.0278
-30.15004,300,1476.027948
-30.150055,300,1476.027966
-30.150015,300,1476.027977
-30.149755,300,1487.803478
-30.149649,300,1487.803553
-30.14988,300,1487.803569
-30.149557,300,1487.803578
-30.149057,300,1499.249864
-30.150015,300,1499.249946
-30.149626,300,1499.24996
-30.149073,300,1499.24997
-30.149006,300,1512.327457
-30.149925,300,1512.327554
-30.14988,300,1512.327569
-30.14995,300,1512.327579
-30.149883,300,1524.760713
-30.150045,300,1524.760817
-30.149729,300,1524.760832
-30.14939,300,1524.760843
-30.149557,300,1537.208701
-30.14974,300,1537.208781
-30.149944,300,1537.208795
-30.149878,300,1537.208805
-30.149788,300,1549.877246
-30.149847,300,1549.877375
-30.150034,300,1549.877427
-30.14913,300,1549.87744
-30.147552,300,1562.535605
-30.149654,300,1562.535723
-30.149881,300,1562.53574
-30.149082,300,1562.535751
-30.147459,300,1574.987095
-30.149641,300,1574.987201
-30.14896,300,1574.987218
-30.149284,300,1574.987228
-30.148968,300,1587.958792
-30.147434,300,1587.958913
-30.149948,300,1587.958928
-30.148037,300,1587.958938
-30.14826,300,1600.285988
-30.147848,300,1600.286091
-30.149347,300,1600.286107
-30.149578,300,1600.286117
-30.1497,300,1612.932375
-30.147423,300,1612.932469
-30.149414,300,1612.932483
-30.149988,300,1612.932492
-30.149242,300,1625.496912
-30.149923,300,1625.497024
-30.14753,300,1625.497039
-30.149652,300,1625.497049
-30.148993,300,1637.867023
-30.149828,300,1637.86713
-30.149803,300,1637.867145
-30.149704,300,1637.867155
-30.149632,300,1650.552011
-30.14829,300,1650.552111
-30.149904,300,1650.552126
-30.148022,300,1650.552153
-30.148859,300,1662.957602
-30.149387,300,1662.957717
-30.144993,300,1662.957731
-30.148624,300,1662.95774
-30.149784,300,1675.56752
-30.149893,300,1675.56764
-30.149073,300,1675.567655
-30.146784,300,1675.567666
-30.149834,300,1690.53905
-30.14991,300,1690.539128
-30.148998,300,1690.539141
-30.14507,300,1690.53915
